Experiment,Orifice width,Aspect ratio,Expansion ratio,Normalized orifice length,Normalized water inlet,Normalized oil inlet,Flow rate ratio,Capillary corrected,,Rate,Size,regime,,Monodispersity,,,,,
190,100.00,2.00,5.00,3.00,2.00,2.50,16.00,1.058,,219.93,116.22,2.00,,1.18,,,,,
191,100.00,2.00,5.00,3.00,2.00,2.50,19.00,0.066,,97.97,57.03,1.00,,3.90,,,,,
192,100.00,2.00,5.00,3.00,2.00,2.50,19.00,0.132,,217.16,55.11,1.00,,2.69,,,,,
193,100.00,2.00,5.00,3.00,2.00,2.50,19.00,0.264,,72.87,99.91,2.00,,4.19,,,,,
194,100.00,2.00,5.00,3.00,2.00,2.50,19.00,0.529,,122.62,105.83,2.00,,0.68,,,,,
195,100.00,2.00,5.00,3.00,2.00,2.50,19.00,1.058,,239.05,106.74,2.00,,0.82,,,,,
196,100.00,2.00,5.00,3.00,2.00,2.50,22.00,0.066,,88.47,56.18,1.00,,2.24,,,,,
197,100.00,2.00,5.00,3.00,2.00,2.50,22.00,0.132,,306.76,46.77,1.00,,2.50,,,,,
198,100.00,2.00,5.00,3.00,2.00,2.50,22.00,0.264,,79.38,92.47,2.00,,1.58,,,,,
199,100.00,2.00,5.00,3.00,2.00,2.50,22.00,0.529,,161.07,92.03,2.00,,1.12,,,,,
200,100.00,2.00,5.00,3.00,2.00,2.50,22.00,1.058,,235.66,102.13,2.00,,3.21,,,,,
201,100.00,2.50,6.00,1.00,2.50,3.00,10.00,0.066,,38.80,100.82,1.00,,5.38,,,,,
202,100.00,2.50,6.00,1.00,2.50,3.00,10.00,0.132,,83.39,98.44,1.00,,4.64,,,,,
203,100.00,2.50,6.00,1.00,2.50,3.00,10.00,0.264,,32.03,170.61,2.00,,4.02,,,,,
204,100.00,2.50,6.00,1.00,2.50,3.00,10.00,0.529,,78.84,159.21,2.00,,4.12,,,,,
205,100.00,2.50,6.00,1.00,2.50,3.00,10.00,1.058,,131.53,169.13,2.00,,2.88,,,,,
206,100.00,2.50,6.00,1.00,2.50,3.00,13.00,0.066,,38.90,92.30,1.00,,2.08,,,,,
207,100.00,2.50,6.00,1.00,2.50,3.00,13.00,0.132,,83.89,90.01,1.00,,1.44,,,,,
208,100.00,2.50,6.00,1.00,2.50,3.00,13.00,0.264,,32.50,155.57,2.00,,4.04,,,,,
209,100.00,2.50,6.00,1.00,2.50,3.00,13.00,0.529,,81.76,144.12,2.00,,1.51,,,,,
210,100.00,2.50,6.00,1.00,2.50,3.00,13.00,1.058,,148.49,148.82,2.00,,6.09,,,,,
211,100.00,2.50,6.00,1.00,2.50,3.00,16.00,0.066,,18.77,109.81,1.00,,2.27,,,,,
212,100.00,2.50,6.00,1.00,2.50,3.00,16.00,0.132,,79.16,85.63,1.00,,4.16,,,,,
213,100.00,2.50,6.00,1.00,2.50,3.00,16.00,0.264,,31.76,146.28,2.00,,3.14,,,,,
214,100.00,2.50,6.00,1.00,2.50,3.00,16.00,0.529,,65.73,144.63,2.00,,5.04,,,,,
215,100.00,2.50,6.00,1.00,2.50,3.00,16.00,1.058,,147.55,139.17,2.00,,4.78,,,,,
216,100.00,2.50,6.00,1.00,2.50,3.00,19.00,0.066,,24.07,95.45,1.00,,1.76,,,,,
217,100.00,2.50,6.00,1.00,2.50,3.00,19.00,0.132,,100.00,74.81,1.00,,2.04,,,,,
218,100.00,2.50,6.00,1.00,2.50,3.00,19.00,0.264,,30.93,139.36,2.00,,4.64,,,,,
219,100.00,2.50,6.00,1.00,2.50,3.00,19.00,0.529,,93.12,121.60,2.00,,3.61,,,,,
220,100.00,2.50,6.00,1.00,2.50,3.00,19.00,1.058,,161.94,127.40,2.00,,2.52,,,,,
221,100.00,2.50,6.00,1.00,2.50,3.00,22.00,0.066,,13.50,110.21,1.00,,2.83,,,,,
222,100.00,2.50,6.00,1.00,2.50,3.00,22.00,0.132,,44.45,93.34,2.00,,3.60,,,,,
223,100.00,2.50,6.00,1.00,2.50,3.00,22.00,0.264,,68.18,101.98,2.00,,5.39,,,,,
224,100.00,2.50,6.00,1.00,2.50,3.00,22.00,0.529,,129.36,103.79,2.00,,4.20,,,,,
225,100.00,2.50,6.00,1.00,2.50,3.00,22.00,1.058,,188.51,115.34,2.00,,2.62,,,,,
226,100.00,3.00,2.00,1.50,3.00,3.50,10.00,0.066,,49.33,97.06,1.00,,2.23,,,,,
227,100.00,3.00,2.00,1.50,3.00,3.50,10.00,0.132,,70.32,108.66,2.00,,2.93,,,,,
228,100.00,3.00,2.00,1.50,3.00,3.50,10.00,0.264,,151.81,105.93,2.00,,2.01,,,,,
229,100.00,3.00,2.00,1.50,3.00,3.50,10.00,0.529,,261.39,111.35,2.00,,1.67,,,,,
230,100.00,3.00,2.00,1.50,3.00,3.50,10.00,1.058,,651.41,103.48,2.00,,2.99,,,,,
231,100.00,3.00,2.00,1.50,3.00,3.50,13.00,0.066,,67.07,80.28,1.00,,1.58,,,,,
232,100.00,3.00,2.00,1.50,3.00,3.50,13.00,0.132,,77.49,96.39,2.00,,3.34,,,,,
233,100.00,3.00,2.00,1.50,3.00,3.50,13.00,0.264,,140.75,99.53,2.00,,5.53,,,,,
234,100.00,3.00,2.00,1.50,3.00,3.50,13.00,0.529,,340.03,93.46,2.00,,6.04,,,,,
235,100.00,3.00,2.00,1.50,3.00,3.50,13.00,1.058,,629.46,95.90,2.00,,2.90,,,,,
