Experiment,Orifice width (um),Aspect ratio,Expansion ratio,Normalized orifice length,Normalized water inlet,Normalized oil inlet,Flow rate ratio,Capillary number,Observed generation rate (Hz),Observed droplet diameter (um),Observed regime (1= Dripping & 2 = Jetting),,,,,,,,,,
227,175.00,1.50,2.00,3.00,3.50,3.00,19.00,0.529,158.79,111.44,2.00,,,,,,,,,,
228,100.00,3.00,2.00,1.50,3.00,3.50,10.00,0.529,261.39,111.35,2.00,,,,,,,,,,
229,125.00,2.50,2.00,2.00,4.00,2.50,16.00,1.058,249.31,110.58,2.00,,,,,,,,,,
230,100.00,1.96,4.87,2.97,2.00,2.44,13.00,0.260,74.16,110.55,2.00,,,,,,,,,,
231,150.00,1.00,5.00,1.50,4.00,3.00,19.00,1.058,139.85,110.44,2.00,,,,,,,,,,
232,100.00,2.00,5.00,3.00,2.00,2.50,16.00,0.264,64.86,109.99,2.00,,,,,,,,,,
233,125.00,1.50,5.00,1.00,3.00,4.00,16.00,0.264,74.14,109.98,2.00,,,,,,,,,,
234,125.00,1.50,5.00,1.00,3.00,4.00,16.00,0.529,150.23,109.50,2.00,,,,,,,,,,
235,150.00,1.00,5.00,1.50,4.00,3.00,19.00,0.264,35.91,109.46,2.00,,,,,,,,,,
236,75.00,3.00,6.00,3.00,4.00,4.00,13.00,0.264,50.10,109.37,2.00,,,,,,,,,,
